No.,Districts,Provinces,Company Name,Authorized Capital,Asset 61,Asset 62,Asset 63,Asset 64,Rev 61,Rev 62,Rev 63,Rev 64,Profit 61,Profit 62,Profit 63,Profit 64,ROA 61,ROA 62,ROA 63,ROA 64,ROE 61,ROE 62,ROE 63,ROE 64,NP 61,NP 62,NP 63,NP 64,Current 61,Current 62,Current 63,Current 64,Quick 61,Quick 62,Quick 63,Quick 64,A_Tirnover61,A_Tirnover62,A_Tirnover63,A_Tirnover64,DA 61,DA 62,DA 63,DA 64,DE 61,DE 62,DE 63,DE 64
143,เจริญกรุง,กทม.,SOVEREIGN GEMS INT'L,"5,000,000.00","11,250,156.19","17,282,751.95","13,053,223.49","23,000,966.82","26,572,950.88","18,365,208.23","25,182,914.87","32,082,045.51","254,590.63","279,741.13","319,189.43","864,335.56",1.32,1.96,2.1,4.79,3.54,3.75,4.12,10.36,0.96,1.52,1.27,2.69,2.91,1.79,2.61,1.59,12.92,6.79,4.97,4.83,1.38,1.29,1.66,1.78,0.35,0.56,0.39,0.62,0.54,1.28,0.65,1.62
144,เจริญกรุง,กทม.,Sudthinee Silver,"1,000,000.00","9,291,839.12","8,874,816.93","9,391,329.05","9,162,176.87","1,225,351.84","1,317,328.00","490,772.27","443,737.51","104,467.36","129,161.52","-310,774.48","-178,614.65",1.1,1.42,-3.4,-1.93,5.08,5.94,-14.92,-9.72,8.53,9.8,-63.32,-40.25,0.24,0.21,0.28,0.27,227.25,209.25,69.2,221.44,0.13,0.14,0.05,0.05,0.77,0.75,0.79,0.81,3.41,2.97,3.87,4.24
145,เจริญกรุง,กทม.,Suriwongse Store Limited Partnership,"2,500,000.00","40,573,482.39","46,144,464.33","40,093,394.19","42,258,050.64","151,587,255.35","101,619,986.20","80,618,184.95","61,128,420.91","3,424,187.26","1,659,501.27","1,115,541.61","105,531.92",6.1,3.83,2.59,0.26,11.54,5.15,3.32,0.31,2.26,1.63,1.38,0.17,4.42,3.52,6.76,5.29,8.93,9.13,6.55,5.11,2.7,2.34,1.87,1.48,0.23,0.28,0.15,0.19,0.29,0.4,0.17,0.23
146,เจริญกรุง,กทม.,Sweet Pista Bangkok,"1,000,000.00",-,"1,677,000.00","2,037,964.73","1,842,416.22",,-,"5,954,023.99","8,158,133.74",,"-34,105.00","391,638.93","107,109.69",-,-2.03,21.08,5.52,-,-3.53,33.71,7.59,-,-,6.58,1.31,-,0.22,1.12,2.34,-,-,-,-,-,-,3.21,4.2,-,0.42,0.33,0.2,-,0.74,0.5,0.26
147,เจริญกรุง,กทม.,T & A GALLERY,"3,000,000.00","4,542,579.54","5,484,861.33","5,520,648.95","5,797,785.84","3,471,070.48","5,459,955.60","2,935,494.86","2,863,814.65","572,483.53","837,803.76","11,409.53","274,317.66",13.69,16.71,0.21,4.85,16.87,20.44,0.25,5.88,16.49,15.34,0.39,9.58,4.52,5,4.92,5.16,45.52,-,130.47,254.56,0.83,1.09,0.53,0.51,0.19,0.18,0.18,0.17,0.23,0.21,0.22,0.21
148,เจริญกรุง,กทม.,Ta pas,"6,000,000.00","2,752,806.45","2,418,520.71","1,778,430.32","8,851,758.83","16,991,657.00","12,456,481.24","10,988,100.37","17,774,775.94","1,841,025.73","-2,688,203.91","-1,993,099.06","2,353,416.89",66.54,-103.97,-94.98,44.28,-378.11,295.25,61.3,-76.63,10.83,-21.58,-18.14,13.24,0.93,0.41,0.23,0.65,56.99,110.66,121.68,6.58,6.14,4.82,5.24,3.34,0.84,1.93,3.39,1.21,5.35,-2.07,-1.42,-5.67
149,เจริญกรุง,กทม.,"TAJ SHABA CO.,LTD","4,000,000.00","3,165,922.65","2,338,631.01","1,202,528.96","2,811,057.75","2,710,875.64","3,023,012.71","566,106.53","1,988,802.62","295,714.93","299,605.72","-745,190.36","-399,714.04",11.07,10.89,-42.09,-19.92,19.9,16.8,-47.74,-20.1,10.91,9.91,-131.63,-20.1,2.07,5.77,84.37,124.96,2.63,3.13,1.25,2.5,1.01,1.1,0.32,0.99,0.48,0.17,0.01,0.01,0.94,0.21,0.01,0.01
150,เจริญกรุง,กทม.,"TELSTRA (THAILAND) CO., LTD.","1,000,000.00",-,"26,264,995.00","31,226,571.00","37,529,880.00",-,"108,786,956.00","98,614,937.00","87,661,646.00",-,"8,128,675.00","251,149.00","-1,744,192.00",-,30.95,0.87,-5.07,-,-10.06,-0.31,2.14,-,7.47,0.25,-1.99,-,0.23,0.25,0.22,-,8.58,8.35,8.64,-,4.14,3.43,2.55,-,4.08,3.58,3.19,-,-1.33,-1.39,-1.46
151,เจริญกรุง,กทม.,"TEO SIEM HONG IMPORT EXPORT CO.,LTD","15,000,000.00","266,375,287.64","275,328,372.73","287,655,665.82","297,181,940.59","34,974,900.63","40,711,080.51","44,823,186.59","45,928,803.27","-8,095,773.65","-4,928,487.14","-1,957,742.73","-1,933,769.20",-3.04,-1.82,-0.7,-0.66,"1,429.21",-250.27,-55.52,-122.36,-23.15,-12.11,-4.37,-4.21,1.17,1.77,1.99,2.26,17.58,10.26,5.32,4.25,0.13,0.15,0.16,0.16,1,0.98,0.99,1,-471.25,60.12,111.92,483.36
152,เจริญกรุง,กทม.,"THAI LINK 2012 INTERNATIONAL CO.,LTD","30,000,000.00","128,021,092.26","136,327,816.22","157,265,189.51","173,285,128.20","306,211,634.63","308,516,659.87","307,570,835.76","303,859,426.71","6,727,305.13","9,790,501.35","13,330,792.77","19,259,835.29",5.48,7.41,9.08,11.65,7.42,10.37,13.13,16.35,2.2,3.17,4.33,6.34,3.7,3.28,3.19,3.75,5.17,4.99,5.33,5.52,2.49,2.33,2.1,1.84,0.27,0.3,0.31,0.26,0.36,0.44,0.45,0.36
