Image ID,RGB,Hue,SortColor,geometry,centroid,latitude,longitude,ZipCode,LandUse,OwnerType,YearBuilt,YearBin,SVI_ID,SortYear
148,"(57, 90, 96)",134,601,"POLYGON ((-73.95846433189145 40.805653727264385, -73.95846433189145 40.806372900588876, -73.95918350521593 40.806372900588876, -73.95918350521593 40.805653727264385, -73.95846433189145 40.805653727264385))",POINT (-73.95882391855369 40.80601331392663),40.80601331392663,-73.95882391855369,10027,9.0,C,1900,1,148,40
51,"(123, 127, 123)",85,178,"POLYGON ((-73.96206019851387 40.8042153806154, -73.96206019851387 40.804934553939894, -73.96277937183835 40.804934553939894, -73.96277937183835 40.8042153806154, -73.96206019851387 40.8042153806154))",POINT (-73.96241978517611 40.804574967277645),40.804574967277645,-73.96241978517611,10025,8.0,X,1900,1,51,41
531,"(120, 112, 113)",249,314,"POLYGON ((-73.94623838537522 40.82722892699911, -73.94623838537522 40.8279481003236, -73.94695755869971 40.8279481003236, -73.94695755869971 40.82722892699911, -73.94623838537522 40.82722892699911))",POINT (-73.94659797203747 40.827588513661354),40.82758851366136,-73.94659797203747,10031,2.0,,1900,1,531,42
11,"(142, 139, 132)",29,438,"POLYGON ((-73.9649368918118 40.804934553939894, -73.9649368918118 40.805653727264385, -73.96565606513629 40.805653727264385, -73.96565606513629 40.804934553939894, -73.9649368918118 40.804934553939894))",POINT (-73.96529647847404 40.80529414060214),40.80529414060214,-73.96529647847404,10025,5.0,,1900,1,11,43
329,"(122, 116, 111)",19,309,"POLYGON ((-73.95271094529558 40.81716050045624, -73.95271094529558 40.81787967378073, -73.95343011862006 40.81787967378073, -73.95343011862006 40.81716050045624, -73.95271094529558 40.81716050045624))",POINT (-73.95307053195782 40.81752008711849),40.81752008711849,-73.95307053195782,10027,2.0,,1900,1,329,44
146,"(114, 121, 112)",75,164,"POLYGON ((-73.95846433189145 40.8042153806154, -73.95846433189145 40.804934553939894, -73.95918350521593 40.804934553939894, -73.95918350521593 40.8042153806154, -73.95846433189145 40.8042153806154))",POINT (-73.95882391855369 40.804574967277645),40.804574967277645,-73.95882391855369,10027,9.0,C,1900,1,146,45
565,"(80, 76, 81)",204,5,"POLYGON ((-73.94480003872626 40.829386446972585, -73.94480003872626 40.830105620297076, -73.94551921205074 40.830105620297076, -73.94551921205074 40.829386446972585, -73.94480003872626 40.829386446972585))",POINT (-73.9451596253885 40.82974603363483),40.82974603363483,-73.9451596253885,10031,2.0,,1900,1,565,46
550,"(108, 100, 104)",233,296,"POLYGON ((-73.94551921205074 40.829386446972585, -73.94551921205074 40.830105620297076, -73.94623838537522 40.830105620297076, -73.94623838537522 40.829386446972585, -73.94551921205074 40.829386446972585))",POINT (-73.94587879871298 40.82974603363483),40.82974603363483,-73.94587879871298,10031,2.0,,1900,1,550,47
320,"(130, 125, 125)",0,199,"POLYGON ((-73.95271094529558 40.81068794053582, -73.95271094529558 40.81140711386031, -73.95343011862006 40.81140711386031, -73.95343011862006 40.81068794053582, -73.95271094529558 40.81068794053582))",POINT (-73.95307053195782 40.81104752719807),40.81104752719807,-73.95307053195782,10027,8.0,X,1900,1,320,48
71,"(128, 120, 108)",25,512,"POLYGON ((-73.96134102518938 40.80781124723786, -73.96134102518938 40.80853042056235, -73.96206019851387 40.80853042056235, -73.96206019851387 40.80781124723786, -73.96134102518938 40.80781124723786))",POINT (-73.96170061185163 40.808170833900114),40.808170833900114,-73.96170061185163,10027,8.0,X,1901,1,71,49
