Borough,Block,Lot,CD,CT2010,CB2010,SchoolDist,Council,ZipCode,FireComp,PolicePrct,HealthCent,HealthArea,Sanitboro,SanitDistr,SanitSub,Address,ZoneDist1,ZoneDist2,ZoneDist3,ZoneDist4,Overlay1,Overlay2,SPDist1,SPDist2,SPDist3,LtdHeight,SplitZone,BldgClass,LandUse,Easements,OwnerType,OwnerName,LotArea,BldgArea,ComArea,ResArea,OfficeArea,RetailArea,GarageArea,StrgeArea,FactryArea,OtherArea,AreaSource,NumBldgs,NumFloors,UnitsRes,UnitsTotal,LotFront,LotDepth,BldgFront,BldgDepth,Ext,ProxCode,IrrLotCode,LotType,BsmtCode,AssessLand,AssessTot,ExemptLand,ExemptTot,YearBuilt,YearAlter1,YearAlter2,HistDist,Landmark,BuiltFAR,ResidFAR,CommFAR,FacilFAR,BoroCode,BBL,CondoNo,Tract2010,XCoord,YCoord,ZoneMap,ZMCode,Sanborn,TaxMap,EDesigNum,APPBBL,APPDate,PLUTOMapID,FIRM07_FLA,PFIRM15_FL,Version,Shape_Leng,Shape_Area,YearBin,percent1900,percent1930,percent1960,percent2000,percent2024,std_dev,mean_value,evenness,Longitude,Latitude
MN,1867,64,109,201.01,1001,03,7,10027,E047,26,16,1800,1,09,1B,404 WEST 116 STREET,R8,,,,,,,,,,N,D1,03,0,,TRUSTEES OF COLUMBIA,6055,25380,4541,20839,4541,0,0,0,0,0,2,1,6.0,16,16,60.0,100.92,60.0,81.0,,2,N,5,2,91350.0,1003950.0,82215.0,903555.0,1915,1998,0,,,4.19,6.02,0.0,6.5,1,1018670064.0,0,020101,995317,232958,5c,,107N067,10703,,0.0,,1,,,18v2,347.467364718,7031.5264864,1900-1930,0.0,0.95,0.0,0.05,0.0,0.41982139059366663,0.2,0.47639306620557914,-73.9600237816726,40.806084808829624
MN,1867,67,109,201.01,1001,03,7,10027,E047,26,16,1800,1,09,1B,420 WEST 116 STREET,R8,,,,,,,,,,N,O6,05,0,X,TRUSTEES OF COLUMBIA,7569,55067,55067,0,15750,0,0,0,0,39317,2,2,10.0,65,66,75.0,100.92,75.0,99.0,,2,N,5,2,302850.0,4407300.0,302850.0,4407300.0,1907,1989,1996,,,7.28,6.02,0.0,6.5,1,1018670067.0,0,020101,995257,232991,5c,,107N067,10703,,0.0,,1,,,18v2,362.8402616,7873.52359125,1900-1930,0.0,0.9473684210526315,0.0,0.05263157894736842,0.0,0.41841277714424824,0.2,0.47799687401289115,-73.96024045954287,40.80617545967267
MN,1867,69,109,201.01,1001,03,7,10027,E047,26,16,1800,1,09,1B,424 WEST 116 STREET,R8,,,,,,,,,,N,O2,05,0,X,TRUSTEES OF COLUMBIA,2523,7050,7050,0,7050,0,0,0,0,0,2,1,3.0,0,2,25.0,100.92,25.0,80.0,,3,N,5,2,76050.0,697050.0,76050.0,697050.0,1915,0,0,,,2.79,6.02,0.0,6.5,1,1018670069.0,0,020101,995215,233014,5c,,107N067,10703,,0.0,,1,,,18v2,269.221879006,2745.96724852,1900-1930,0.0,0.95,0.0,0.05,0.0,0.41982139059366663,0.2,0.47639306620557914,-73.96039213456656,40.80623864054732
MN,1867,70,109,201.01,1001,03,7,10027,E047,26,16,1800,1,09,1B,430 WEST 116 STREET,R8,,,,,,,,,,N,D7,04,0,,INTRUSTESS OF COLUMBI,10092,36664,5000,31664,0,5000,0,0,0,0,2,1,7.0,22,23,100.0,100.92,100.0,89.0,,3,N,5,2,450000.0,2158650.0,423000.0,2029131.0,1925,1986,0,,,3.63,6.02,0.0,6.5,1,1018670070.0,0,020101,995160,233045,5c,,107N067,10703,,0.0,,1,,,18v2,421.04093623,11061.2833033,1900-1930,0.0,0.95,0.0,0.05,0.0,0.41982139059366663,0.2,0.47639306620557914,-73.96059075562519,40.80632379507529
MN,1867,74,109,201.01,1001,03,7,10025,E047,26,16,1800,1,09,1B,1129 AMSTERDAM AVENUE,R8,,,,C1-4,,,,,,N,D7,04,0,,TRUSTEES OF COLUMBIA,10092,36664,5000,31664,0,5000,0,0,0,0,2,1,7.0,45,48,100.92,100.0,85.0,98.0,,2,N,3,2,720000.0,2633400.0,532800.0,1953801.0,1925,0,0,,,3.63,6.02,0.0,6.5,1,1018670074.0,0,020101,995071,233094,5c,,107N067,10703,,0.0,,1,,,18v2,423.176512989,11177.1053206,1900-1930,0.0,0.9473684210526315,0.0,0.05263157894736842,0.0,0.41841277714424824,0.2,0.47799687401289115,-73.96091216356314,40.80645839599636
MN,1882,8,109,199,6001,03,7,10025,E047,26,16,2310,1,09,1A,535 CATHEDRAL PARKWAY,R8,,,,,,,,,,N,D4,03,0,,CATHEDRAL PARKWAY APA,15910,150429,0,150429,0,0,0,0,0,0,2,1,14.0,140,140,175.0,90.92,175.0,72.0,,3,N,5,2,1570500.0,8977050.0,91200.0,91200.0,1923,1986,2005,Morningside Heights Historic District,,9.45,6.02,0.0,6.5,1,1018820008.0,0,0199,993788,232191,5d,,107N052,10703,,0.0,,1,,,18v2,529.506530909,15832.4040564,1900-1930,0.0,0.8,0.11428571428571428,0.05714285714285714,0.02857142857142857,0.33806170189140666,0.2,0.5916079765599616,-73.96554792464838,40.80398138802957
MN,1882,20,109,199,6001,03,7,10025,E047,26,16,2310,1,09,1A,515 CATHEDRAL PARKWAY,R8,,,,,,,,,,N,D3,03,0,,ACQUISITION AMERICA V,10800,83471,0,83471,0,0,0,0,0,0,2,1,12.0,83,83,108.33,100.0,108.33,81.0,,0,N,5,2,990000.0,6974550.0,0.0,0.0,1909,0,0,Morningside Heights Historic District,,7.73,6.02,0.0,6.5,1,1018820020.0,0,0199,994008,232074,5d,,107N052,10703,,0.0,,1,,,18v2,418.526722748,10937.7397362,1900-1930,0.0,0.8125,0.0625,0.09375,0.03125,0.3441758725564592,0.2,0.5810982563459424,-73.96475343588185,40.80366001496891
MN,1882,24,109,199,6001,03,7,10025,E047,26,16,2310,1,09,1A,509 CATHEDRAL PARKWAY,R8,,,,,,,,,,N,D3,03,0,,ACQUISITION AMERICA V,10800,83519,0,83519,0,0,0,0,0,0,2,1,12.0,94,94,108.33,100.0,88.0,78.0,,3,N,5,2,990000.0,8610300.0,0.0,0.0,1909,1988,0,Morningside Heights Historic District,,7.73,6.02,0.0,6.5,1,1018820024.0,0,0199,994104,232021,5d,,107N052,10703,,0.0,,1,,,18v2,424.798005036,11255.8909038,1900-1930,0.0,0.8846153846153846,0.038461538461538464,0.07692307692307693,0.0,0.3840380281958959,0.2,0.5207817580429801,-73.96440675513418,40.80351443799232
MN,1882,28,109,199,6000,03,7,10025,E047,26,16,2310,1,09,1B,1020 AMSTERDAM AVENUE,R8,,,,C1-4,,,,,,N,D7,04,0,,STELLAR WEST 110 LLC,11990,88930,5000,83930,0,5000,0,0,0,0,2,1,10.0,66,69,95.92,125.0,96.0,114.0,,2,N,3,2,900000.0,5962500.0,0.0,0.0,1910,0,0,Morningside Heights Historic District,,7.42,6.02,0.0,6.5,1,1018820028.0,0,0199,994204,231963,5d,,107N052,10703,,0.0,,1,,,18v2,438.907358699,11889.3271095,1900-1930,0.0,0.8571428571428571,0.047619047619047616,0.09523809523809523,0.0,0.3694698045956347,0.19999999999999998,0.5413162238726741,-73.96404563510673,40.80335513183812
MN,1882,36,109,199,6000,03,7,10025,E047,26,16,2310,1,09,1B,1028 AMSTERDAM AVENUE,R8,,,,C1-4,,,,,,N,D4,03,0,,ST JOHN S OWNERS CORP,11990,55868,6000,49868,0,6000,0,0,0,0,2,1,6.0,38,42,95.92,125.0,96.0,114.0,,2,N,3,2,675000.0,2107350.0,26950.0,26950.0,1910,0,0,Morningside Heights Historic District,,4.66,6.02,0.0,6.5,1,1018820036.0,0,0199,994252,232048,5d,,107N052,10703,,0.0,,1,,,18v2,442.220945489,12091.4573689,1900-1930,0.0,0.8518518518518519,0.037037037037037035,0.1111111111111111,0.0,0.36720872764282786,0.2,0.5446493626096061,-73.9638721300072,40.8035883792736
